YEAR,PLACE,MENTIONS,DLATITUDE,DLONGTITUDE
1626,Henrico City,2,37.374,-77.362
1626,James River,1,36.941667,-76.443611
1626,Martin's Hundred,1,37.1785,-76.6115
1626,Somers Isles,1,32.32,-64.74
1626,Southampton Hundred,1,37.3105,-76.96445
1626,West Indies,2,19.0,-71.0
1628,Chickahominy River,1,37.233611,-76.889722
1628,James City,4,37.31,-76.77
1628,Plymouth,1,41.958333,-70.667778
1628,Somers Isles,4,32.32,-64.74
1628,Southampton Hundred,2,37.3105,-76.96445
1628,West Indies,1,19.0,-71.0
1635,Somers Isles,1,32.32,-64.74
1642,Somers Isles,2,32.32,-64.74
