entity_name,latitude,longitude
Ps Es,56.9185854,13.9829795
Pretending,33.842423,-84.382229
Proclamacion,-29.25,30.55
dutye,52.5587828,37.5368598
Maᵗᵉs,NA,NA
Virginea,39.82231,20.7287607
Drunkenesse,7.882575224,98.390845195
Consumed,-17.88555,-51.71605
Ale,57.96654048839,12.229928842893
Drunckenesse,NA,NA
Continue,48.90819,2.2693709
Villages,NA,NA
Rate,27.719665,93.483651
Carriage,26.0408627,-80.2276796
Victualler,21.633754,-102.9763909
"the County, Citty",36.173336,-80.279568
Libertie,48.5813732,7.7470376
Citty,-35.281084517,149.130186249
Comming,34.2070477,-84.1403594
Mansion,10.1013,-85.3737
maine,45.315249922,-69.203947061
Marche,43.345034557191,13.142327542585
Irland,53.175879846,-8.146006147
Defendour,49.574868,21.876579
Our Reigne,32.7224834,35.3150836
Mᵗʳ,NA,NA
Innocencye,-28.8116518,153.2901954
Maiestye,NA,NA
valientlye,29.426308,-98.495902
Muske Ratte,-3.2172821,118.9653926
New-England,44,-71
America,39.398703156,-99.41461919
Seamen,9.958663,76.260075
Wales,52.331888679028,-3.778552207103
Boates,-23.1131688,-46.5944966
St. Martins,38.5950149,-92.3379924
CLXIII,NA,NA
Stamford,41.051924,-73.539475
Capital,55.638363743,12.746018944
Selfe,40.1737497,44.516451000000004
Lesse,4.1602775,17.9507468
"the George

2",-28.7392,152.70655
DD,5.752798222,-55.213726911
Conceaue,NA,NA
Corrupted,NA,NA
Lodginge,48.2918,-4.4606
Bay,14.1807872,121.2856348
Italie,42.83333,12.83333
Tres,18.232969,-97.959098
New England,44,-71
att Sea,37.9715689,23.8780258
Limitation,50.6667936,3.7329059
CLXXVII,NA,NA
the Kingdome of Virginia,38.25902,-78.23084
Holland,52.249375293,5.616126398
Washington,38.8920621,-77.0199124
the Coast of the West Indies,12.8628677,74.8356632
the Coast of Virginia,37.89819,-79.52115
Savages,51.568,-1.2419
Encreased,-37.6211,145.0145
Carefull,-31.3760614,-64.2173715
Curing,-7.2811,112.1757
Seasons,53.1442512,-6.6067607
Shipping,43.4682,-79.7021
Negative voyce,18.78915183,98.967613982
the sea Coast,36.0775547,14.2511982
Chosen,34.90722468,137.07058313
Assemblie,-29.3780324,27.5605426
Maᵗˢ,NA,NA
& Ireland,53.175879846,-8.146006147
Chirurgery,-1.73333,34.13333
Debts,45.76667,3.95
Shipp,36.212013,-92.360158
the Sea Coast,36.0775547,14.2511982
Almightie,-34.4777507,-58.9170349
Loving,32.285948,-104.100997
Highnes,19.0661768,72.8360315
protec̄on,51.7704568,55.2543918
Frenche,4.6412221,-74.0649927
Boroughs,-27.50409,153.10013
Henerico,33.664831,-84.339091
Shipwright,50.5422441,-4.9374228
Frenchmen,39.2791992,-118.27052020000001
Ma'ties,42.137101,-71.344701
Dutie,10.2,-4.13333
Invoice,29.9646614,77.5460722
Comand,44.6460548,23.1689979
the East Indya,45.515449,-73.571026
China,36.567348398,103.930027033
fewe,-14.1084447,33.5147732
Came,43.473136604,-1.110335094
Contynewe,33.995226,-117.899985
Deale,38.78122,-76.553403
Norborne,39.3025319,-93.6766628
East India,28.66242,77.29122
Coes,42.313479,-90.831267
Horsebread,51.8750426,-8.3442685
the Sea coast,36.0775547,14.2511982
Coast,57.815634314,-5.670232392
the Colonies of Virginia,37.679865,-77.289145
homewarde,52.85189,-1.56187
the Coast of America,33.711084,-118.29871
Ma'tie,-17.84173,-149.16949
Voyadge,40.2783269,-94.4457923
Contrary,43.05972,1.21389
Tradeing,19.3092843,-98.912125
Pyratts,35.3067668,25.4075197
necessarye,45.48264,9.19901
Cause,44.95748,0.93723
Chancerye,53.8962762,-9.177102
Thadventurers,NA,NA
Paules,42.0984209,-0.9798875
Nouembᵉʳ,NA,NA
Adventures,33.48806,-101.88586
Furrs,34.220584,-88.859991
Interpreters,38.935205,-94.544415
Warwick,41.6986537,-71.4601801
the East India,18.552346,73.793121
Amsterdam,52.361524688,4.890870311
Shipwrights,50.5422441,-4.9374228
Southwest,-34.2,116.2
Monsieur,50.7316936,-3.5017803
Ryuers Creeks,42.0573,-77.13442
the Cape of Good Hope,52.292217,-1.595331
Massam,7.353224,-11.6874288
Nouem,10.08333,1.36667
Apprentices,40.774959,-73.957321
The East India Schoole,26.726971,93.154459
East India Companies,27.7304877,94.9717609
Collegiat,40.86667,14.43333
League,39.292246,-81.098337
the South Sea,28.5199099,77.2324757
Pauls,46.84532,-68.045584
Bookes,20.303571,78.531665
Cape Florida,25.6676,-80.1551
Sixt,47.77606,-2.07987
Kingdome,40.828672,-73.907167
Plancks,0.3697858,6.5957517
Salt of,23.67449,86.805193
Gummes,55.549954,8.830879
Cotton,54.6365411,-5.6083355
Sugar-Canes,12.934203,77.610967
Rockes,54.21313809,23.759770201
Sholes,42.332001,-97.292769
Pomgranats,37.97566,-122.56374
Pocoon,37.12237,-76.34578
Sugar,34.9981388,-87.2183493
Cambaya,-5.1109426,119.4260513
Bengala,7.0029,-75.26053
Grogeram,NA,NA
Europe,48.69096,9.14062
the River of Patomack,37.93889,-76.25278
Iapan,49.9,136.65
the County of Glocester,39.981125,-74.729757
Turkey,39.066250645,35.142286272
Brasse,44.7626666,7.5076666
Peece,-15.3922746,40.3763582
Fowle,37.3087487,-121.7757302
Christianitie,-10.178735,123.569581
Breakfast,-18.289464,25.9344321
Pagan,7.5831581,125.1348567
Principles,51.51356,-0.1583
Riuer,24.810564,84.229721
Pamounkey,37.6693099,-77.2041419
Haruest,51.6027469,45.9174776
Young,-32.6977879,-57.6332715
tenne,42.9286285,12.6862408
Victorie,48.5771,-3.8259956
Peru,-10,-76
Mexico,23.95282499,-102.548353419
Attabalippa,NA,NA
Tributes,51.022041,-114.057179
the Honourable City of London,51.514373241,-0.092260495
Rome,41.8905568,12.4942679
Columbus,39.962762,-82.996291
Nigua,-0.33603,-70.18281
Vasco,15.39585,73.81568
Blasco,11.454921,123.010251
Hispaniola,19,-71
Continent,43.880534,11.102313
Island,64.986956859,-18.582382346
Sugars,31.416416,-94.513986
Petacaraua,18.53185,-95.30203
Perfumes,33.301601,-111.897762
Sarsaparillia,-38.4492562,145.2393222
West Indies,19.38333,-71.21667
Midsummer,-31.63243,115.68677
Childe,-20.61667,-66.31667
Buckingham,52.001104641,-0.986345162
Powle,20.929344,77.787576
Maid,24.73217,82.887949
THE SOUTH SEA,28.5199099,77.2324757
Florida,28.566044895,-81.68864879
the Indian Ocean,50.72119,-1.79807
North west,53.6,-2.5
Mountains,35.922548856,14.40007259
Japan,36.655226998,139.271495
Moluccas,-2.916020466,129.450479982
New Spaine,-33.806921832349,-70.714733862129
Henrico City,33.664831,-84.339091
Hudson,41.239964,-81.440421
Derbishire,53.13543,-1.61125
the East Germane Ocean,49.4864581,8.46595
Alpes,46.41667,10
Switzerland,46.799817442,8.245024096
the North Germane Ocean,40.242529,-74.032533
the Mediterrane Sea,39.21249926343,5.259743292319
the Po South,52.76738,-0.37689
the Adriatike Sea,43,16
the Westerne Sea,-17.76968605014,177.375043573498
Westerly,41.3772857,-71.8274557
the Cape of California,37.87158943634,-122.264988492298
Quiuira,-14.16098,-69.28723
the North Pole,43.2406631,-75.2537171
